id,7010,7447,7448,7855,7853,7852,7449,#pbmcpos
A1,0.1565,0.578,0.2145,0.0485,0.075,0.104,0.1425,2
B1,0.136,0.1565,0.0685,0.0485,0.064,0.0565,0.0595,1
C1,0.128,0.068,0.111,0.049,0.061,0.073,0.05,0
D1,0.17,0.048,0.181,0.0485,0.0485,0.083,0.127,1
E1,0.1815,0.295,0.345,0.051,0.0505,0.1525,0.049,1
F1,0.166,0.136,0.292,0.0475,0.0485,0.0945,0.151,2
G1,0.2005,0.154,0.632,0.052,0.0505,0.1005,0.075,3
H1,0.2085,0.2515,0.373,0.0505,0.229,0.1935,0.173,5
A2,0.211,0.1745,0.369,0.0475,0.05,0.0885,0.0635,2
B2,0.1665,0.054,0.2005,0.0465,0.0505,0.098,0.047,0
C2,0.1275,0.0455,0.1315,0.045,0.0595,0.068,0.0475,0
D2,0.151,0.048,0.305,0.045,0.048,0.055,0.057,0
E2,0.152,0.047,0.0515,0.0465,0.047,0.0545,0.083,0
F2,0.1335,0.0455,0.0795,0.0515,0.046,0.301,0.0635,1
G2,0.127,0.0465,0.2825,0.0475,0.05,0.0745,0.109,1
H2,0.1385,0.05,0.5415,0.049,0.063,0.069,0.071,0
A3,0.2205,0.282,0.276,0.0485,0.0555,0.0515,0.0495,2
B3,0.154,0.084,0.301,0.0475,0.0475,0.079,0.0535,1
C3,0.119,0.0475,0.4035,0.047,0.054,0.0645,0.072,0
D3,0.1675,0.245,0.5925,0.0445,0.0535,0.175,0.0895,3
E3,0.125,0.046,0.0585,0.0455,0.046,0.0995,0.0865,0
F3,0.192,0.078,0.1325,0.046,0.047,0.052,0.047,2
G3,0.117,0.0565,1.1735,0.0485,0.059,0.1135,0.086,1
H3,0.1605,0.257,0.438,0.0475,0.058,0.07,0.0645,1
A4,0.19,0.251,0.18,0.048,0.0505,0.292,0.049,2
B4,0.12,0.108,0.251,0.046,0.0505,0.059,0.058,1
C4,0.16,0.0465,0.0835,0.045,0.0475,0.0805,0.0595,0
D4,0.1235,0.065,0.8995,0.046,0.21,0.047,0.1045,3
E4,0.132,0.135,0.129,0.047,0.047,0.164,0.0785,1
F4,0.1285,0.0485,0.062,0.048,0.0465,0.056,0.049,0
G4,0.1305,0.0525,0.5695,0.0465,0.0495,0.304,0.053,1
H4,0.165,0.074,0.293,0.047,0.0675,0.1005,0.101,2
A5,0.1375,0.392,0.706,0.0475,0.0525,0.0655,0.0495,2
B5,0.18,0.1405,0.485,0.047,0.0855,0.129,0.0915,2
C5,0.1655,0.046,0.2495,0.046,0.0515,0.0635,0.0605,0
D5,0.144,0.0965,0.1135,0.046,0.049,0.089,0.0535,1
E5,0.1555,0.049,0.194,0.0465,0.0485,0.106,0.0465,0
F5,0.178,0.052,0.751,0.1965,0.054,0.076,0.048,2
G5,0.2125,0.0485,0.2315,0.047,0.049,0.059,0.079,1
H5,0.1905,0.05,0.4225,0.0515,0.051,0.163,0.05,0
A6,0.1055,0.2865,0.0765,0.0475,0.051,0.055,0.0625,1
B6,0.1685,0.1935,0.218,0.0495,0.0565,0.112,0.0605,1
C6,0.127,0.0685,0.157,0.048,0.052,0.24,0.047,1
D6,0.13,0.054,0.2845,0.047,0.0495,0.0545,0.0625,0
E6,0.1235,0.0475,0.4145,0.045,0.0505,0.1435,0.105,1
A7,0.139,0.135,0.2,0.05,0.139,0.1005,0.0535,1
B7,0.1465,0.186,0.3845,0.048,0.062,0.0575,0.0455,1
C7,0.144,0.212,0.565,0.0525,0.054,0.0615,0.122,2
D7,0.121,0.14,0.8825,0.0475,0.05,0.141,0.0495,2
E7,0.1015,0.113,0.3085,0.0465,0.055,0.181,0.055,2
F7,0.0745,0.087,0.322,0.048,0.0525,0.056,0.0515,1
G7,0.131,0.315,0.073,0.049,0.053,0.183,0.1305,3
H7,0.1115,0.152,0.0695,0.054,0.053,0.066,0.0475,1
A8,0.164,0.136,0.1805,0.046,0.0525,0.071,0.048,1
B8,0.1255,0.633,0.3785,0.0465,0.2055,0.08,0.05,2
C8,0.14,0.165,0.3325,0.0485,0.0575,0.0755,0.0845,1
D8,0.0985,0.1135,0.0845,0.0465,0.05,0.075,0.073,1
E8,0.1055,0.2365,0.562,0.0495,0.048,0.0525,0.164,2
F8,0.177,0.175,0.1985,0.0475,0.085,0.05,0.1555,2
G8,0.1255,0.1885,0.053,0.0475,0.1315,0.0535,0.0465,1
H8,0.203,0.2875,0.151,0.0485,0.052,0.0735,0.072,2
A9,0.155,0.1695,0.3125,0.0475,0.2745,0.062,0.076,2
B9,0.139,0.101,0.2425,0.0475,0.0485,0.0575,0.049,1
C9,0.108,0.0895,0.1155,0.046,0.0515,0.0535,0.045,1
D9,0.1245,0.054,0.245,0.044,0.052,0.185,0.047,1
E9,0.1405,0.0495,0.0475,0.046,0.0465,0.0595,0.0445,0
F9,0.1065,0.0685,0.257,0.048,0.1275,0.0555,0.0545,0
G9,0.1445,0.0675,0.4695,0.0495,0.0515,0.077,0.057,0
H9,0.188,0.438,0.1145,0.0505,0.053,0.114,0.0465,1
A10,0.119,0.255,0.108,0.047,0.049,0.0665,0.049,1
B10,0.1295,0.045,0.0935,0.0465,0.0495,0.054,0.057,0
C10,0.197,0.046,0.1625,0.0465,0.0485,0.068,0.064,1
D10,0.1325,0.0445,0.339,0.045,0.0495,0.061,0.1295,1
E10,0.1295,0.1985,0.2065,0.045,0.063,0.053,0.073,1
F10,0.1405,0.445,0.2585,0.0445,0.048,0.085,0.099,2
G10,0.1525,0.182,0.1375,0.046,0.049,0.05,0.046,1
H10,0.136,0.221,0.2295,0.0505,0.06,0.106,0.06,1
A11,0.142,0.1985,0.105,0.0485,0.0565,0.0615,0.048,1
B11,0.0465,0.046,0.0475,0.048,0.055,0.0475,0.047,0
C11,0.1935,0.045,0.254,0.047,0.0475,0.0865,0.078,1
D11,0.1165,0.167,0.374,0.0465,0.048,0.065,0.047,1
E11,0.1245,0.047,0.059,0.045,0.0465,0.0515,0.0865,0
F11,0.1635,0.0495,0.505,0.047,0.048,0.1075,0.047,0
G11,0.1385,0.1,0.073,0.0475,0.05,0.0615,0.078,1
H11,0.276,0.0725,0.3365,0.05,0.085,0.1045,0.068,1
A12,0.1175,0.046,0.187,0.0485,0.0555,0.0645,0.0485,0
B12,0.1225,0.161,0.08,0.051,0.0625,0.069,0.0485,1
C12,0.2635,0.0455,0.1525,0.049,0.0525,0.1345,0.0495,1
D12,0.137,0.0645,0.127,0.0475,0.049,0.0595,0.0455,0
E12,0.1505,0.0515,1.097,0.0485,0.059,0.09,0.058,1
F6,0.122,0.0475,0.3025,0.0485,0.05,0.0515,0.0705,0
G6,0.1485,0.05,0.234,0.0475,0.0525,0.065,0.051,0
H6,0.149,0.0515,0.0695,0.0505,0.0505,0.07,0.1425,1
F12,0.101,0.0525,0.098,0.0485,0.0765,0.0925,0.052,0
