tag,8740_val,8742_val,8743_val,8744_val,8740,8742,8743,8744,#pos
CFP10.1_300,0.07,0.3815,0.521,0.004,-,positive,positive,-,2
CFP10.2_301,0.058,0.179,1.5785,-0.003,-,positive,positive,-,2
CFP10.7_302,0.299,0.89,3.608,0.0395,positive,positive,positive,-,3
CFP10.8_303,0.0865,0.563,0.9135,0.0035,-,positive,positive,-,2
CFP10.9_304,1.169,2.727,0.718,0.3335,positive,positive,positive,positive,4
ESAT-6 p45_305,1.403,3.532,1.9335,0.5435,positive,positive,positive,positive,4
ESAT-6 p46_306,0.3035,0.3395,1.1805,0.04,positive,positive,positive,-,3
ESAT-6 p47_307,0.365,0.517,2.504,0.051,positive,positive,positive,-,3
ESAT-6 p51_308,1.052,2.0945,1.925,0.433,positive,positive,positive,positive,4
ESAT-6 p52_309,1.7695,3.7765,3.336,0.624,positive,positive,positive,positive,4
ESAT-6 p53_310,0.706,3.1705,2.0115,0.439,positive,positive,positive,positive,4
ESAT-6 p55_311,0.716,2.4735,0.863,0.619,positive,positive,positive,positive,4
Mb0054_243,0.044,0.0735,0.058,-0.0145,-,-,-,-,0
Mb0054_244,0.047,0.0555,0.0575,-0.0055,-,-,-,-,0
Mb0057_237,0.047,0.062,0.0555,-0.007,-,-,-,-,0
Mb0151_276,0.05,0.05,0.052,-0.013,-,-,-,-,0
Mb0151_277,0.048,0.0525,0.0615,-0.0005,-,-,-,-,0
Mb0169_245,0.0445,0.05,0.0535,-0.0155,-,-,-,-,0
Mb0169_246,0.0535,0.056,0.0585,-0.0045,-,-,-,-,0
Mb0247c_251,0.047,0.0575,0.062,-0.0065,-,-,-,-,0
Mb0247c_252,0.058,0.052,0.0595,-0.0015,-,-,-,-,0
Mb0247c_253,0.0505,0.05,0.0575,0.0075,-,-,-,-,0
Mb0253c_239,0.048,0.0865,0.0785,-0.0065,-,-,-,-,0
Mb0253c_241,0.053,0.049,0.061,0.0055,-,-,-,-,0
Mb0253c_242,0.0725,0.1995,0.1145,-0.003,-,positive,-,-,1
Mb0256c_258,0.128,0.0525,0.063,0.015,-,-,-,-,0
Mb0473c_225,0.0985,0.069,0.074,0.0025,-,-,-,-,0
Mb0473c_226,0.049,0.0525,0.0695,0.0015,-,-,-,-,0
