,"strain","sample_title","organism","isolate","host","isolation_source","collection_date","year","county","province","host_tissue_sampled","country","status","clade","BioSample","BioProject","id","AssemblyAccession","BioSampleAccn","BioSampleId","SubmitterOrganization","geo_loc_name","region","species","ST"
221,"IRE1",221,"Mycoplasmopsis bovis",1,"Bos Taurus","Post mortem, yearling",01/03/21,2021,"Wexford ","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
223,"IRE2",223,"Mycoplasmopsis bovis",2,"Bos Taurus","Post mortem, 8.5 month old bovine",01/11/20,2020,"Kilkenny","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
224,"IRE3",224,"Mycoplasmopsis bovis",3,"Bos Taurus","Post mortem, 8 month old dairy heifer",01/11/20,2020,"Kilkenny","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
227,"IRE4",227,"Mycoplasmopsis bovis",4,"Bos Taurus","Post mortem, 9 month old bovine",01/02/21,2021,"Wicklow","Leinster","lung","Ireland",,2,,,,,,,,,"Europe",,122
228,"IRE5",228,"Mycoplasmopsis bovis",5,"Bos Taurus","Post mortem, 9 month old bovine",01/02/21,2021,"Wicklow","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
234,"IRE6",234,"Mycoplasmopsis bovis",6,"Bos Taurus",,,,,,"lung","Ireland",,1,,,,,,,,,"Europe",,29
240,"IRE7",240,"Mycoplasmopsis bovis",7,"Bos Taurus","Post mortem, 11 month old bovine",01/02/21,2021,"Laois","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,
241,"IRE8",241,"Mycoplasmopsis bovis",8,"Bos Taurus","Post mortem, 6 year old adult dairy cow",01/03/21,2021,"Wexford ","Leinster","lung","Ireland",,2,,,,,,,,,"Europe",,21
"222A","IRE9","222A","Mycoplasmopsis bovis",9,"Bos Taurus",,,,"Wexford ","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"224B21","IRE11","224B21","Mycoplasmopsis bovis",11,"Bos Taurus","Post mortem, 8 month old dairy heifer",01/11/20,2020,"Kilkenny","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"226-B21","IRE12","226-B21","Mycoplasmopsis bovis",12,"Bos Taurus","Post mortem, 6 month old calf",01/12/20,2020,"Carlow ","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"229-B21","IRE15","229-B21","Mycoplasmopsis bovis",15,"Bos Taurus","Post mortem, 7 month old bovine",01/02/21,2021,"Carlow ","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"230-B21","IRE16","230-B21","Mycoplasmopsis bovis",16,"Bos Taurus","Post mortem yearling dairy cross male",01/02/21,2021,"Carlow ","Leinster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"243-B21","IRE18","243-B21","Mycoplasmopsis bovis",18,"Bos Taurus","Post mortem, 2 week old calf",01/04/21,2021,"Laois","Leinster","lung","Ireland",,2,,,,,,,,,"Europe",,21
245,"IRE19",245,"Mycoplasmopsis bovis",20,"Bos Taurus","Post mortem 4 month old bovine",01/04/21,2021,"Kilkenny","Leinster","lung","Ireland",,2,,,,,,,,,"Europe",,21
"SCOT1","SCOT1","SCOT1","Mycoplasmopsis bovis",19,"Bos Taurus","Post mortem",,,"Scotland",,"lung","Scotland",,1,,,,,,,,,"Europe",,29
"SCOT2","SCOT2","SCOT2","Mycoplasmopsis bovis",21,"Bos Taurus","Post mortem",,,"Scotland",,"hock swab","Scotland",,1,,,,,,,,,"Europe",,29
"SCOT3","SCOT3","SCOT3","Mycoplasmopsis bovis",22,"Bos Taurus","Post mortem",,,"Scotland",,"shoulder swab","Scotland",,1,,,,,,,,,"Europe",,29
"SCOT4","SCOT4","SCOT4","Mycoplasmopsis bovis",23,"Bos Taurus","Post mortem",,,"Scotland",,"lung","Scotland",,1,,,,,,,,,"Europe",,29
"SCOT5","SCOT5","SCOT5","Mycoplasmopsis bovis",24,"Bos Taurus","Post mortem",,,"Scotland",,"lung","Scotland",,1,,,,,,,,,"Europe",,29
"GB000944","IRE20","GB000944","Mycoplasmopsis bovis",25,"Bos Taurus","Post mortem swab calf",01/03/18,2018,"Cork","Munster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"GB17005644","IRE22","GB17005644","Mycoplasmopsis bovis",27,"Bos Taurus",,2017,2017,,,"lung","Ireland",,1,,,,,,,,,"Europe",,29
"GB18000923","IRE23","GB18000923","Mycoplasmopsis bovis",28,"Bos Taurus","Swab adult cow*",01/08/18,2018,"Tipperary","Munster","lung","Ireland",,1,,,,,,,,,"Europe",,29
"GB18001319","IRE24","GB18001319","Mycoplasmopsis bovis",29,"Bos Taurus","Live calves pooled swab",01/03/18,2018,"Kerry","Munster","lung","Ireland",,2,,,,,,,,,"Europe",,21
"SRR3954754","Mb01",,,,,,,,,,,"Australia",,,"SAMN05444184","PRJNA335520",,,,,,,"Oceania",,
"SRR3954755","Mb02",,,,,,,,,,,"Australia",,,"SAMN05444185","PRJNA335520",,,,,,,"Oceania",,
"SRR3954756","Mb11",,,,,,,,,,,"Australia",,,"SAMN05444194","PRJNA335520",,,,,,,"Oceania",,
"SRR3954757","Mb12",,,,,,,,,,,"Australia",,,"SAMN05444195","PRJNA335520",,,,,,,"Oceania",,
"SRR3954758","Mb13",,,,,,,,,,,"Australia",,,"SAMN05444196","PRJNA335520",,,,,,,"Oceania",,
"SRR3954759","Mb14",,,,,,,,,,,"Australia",,,"SAMN05444197","PRJNA335520",,,,,,,"Oceania",,
"SRR3954760","Mb15",,,,,,,,,,,"Australia",,,"SAMN05444198","PRJNA335520",,,,,,,"Oceania",,
"SRR3954761","Mb16",,,,,,,,,,,"Australia",,,"SAMN05444199","PRJNA335520",,,,,,,"Oceania",,
"SRR3954762","Mb17",,,,,,,,,,,"Australia",,,"SAMN05444200","PRJNA335520",,,,,,,"Oceania",,
"SRR3954763","Mb18",,,,,,,,,,,"Australia",,,"SAMN05444201","PRJNA335520",,,,,,,"Oceania",,
"SRR3954764","Mb19",,,,,,,,,,,"Australia",,,"SAMN05444202","PRJNA335520",,,,,,,"Oceania",,
"SRR3954765","Mb21",,,,,,,,,,,"Australia",,,"SAMN05444203","PRJNA335520",,,,,,,"Oceania",,
"SRR3954766","Mb03",,,,,,,,,,,"Australia",,,"SAMN05444186","PRJNA335520",,,,,,,"Oceania",,
"SRR3954767","Mb22",,,,,,,,,,,"Australia",,,"SAMN05444204","PRJNA335520",,,,,,,"Oceania",,
"SRR3954768","Mb23",,,,,,,,,,,"Australia",,,"SAMN05444205","PRJNA335520",,,,,,,"Oceania",,
"SRR3954769","Mb24",,,,,,,,,,,"Australia",,,"SAMN05444206","PRJNA335520",,,,,,,"Oceania",,
"SRR3954770","Mb25",,,,,,,,,,,"Australia",,,"SAMN05444207","PRJNA335520",,,,,,,"Oceania",,
"SRR3954771","Mb26",,,,,,,,,,,"Australia",,,"SAMN05444208","PRJNA335520",,,,,,,"Oceania",,
"SRR3954772","Mb27",,,,,,,,,,,"Australia",,,"SAMN05444209","PRJNA335520",,,,,,,"Oceania",,
"SRR3954773","Mb28",,,,,,,,,,,"Australia",,,"SAMN05444210","PRJNA335520",,,,,,,"Oceania",,
"SRR3954774","Mb29",,,,,,,,,,,"Australia",,,"SAMN05444211","PRJNA335520",,,,,,,"Oceania",,
"SRR3954775","Mb30",,,,,,,,,,,"Australia",,,"SAMN05444212","PRJNA335520",,,,,,,"Oceania",,
"SRR3954776","Mb31",,,,,,,,,,,"Australia",,,"SAMN05444213","PRJNA335520",,,,,,,"Oceania",,
"SRR3954777","Mb04",,,,,,,,,,,"Australia",,,"SAMN05444187","PRJNA335520",,,,,,,"Oceania",,
"SRR3954778","Mb32",,,,,,,,,,,"Australia",,,"SAMN05444214","PRJNA335520",,,,,,,"Oceania",,
"SRR3954779","Mb33",,,,,,,,,,,"Australia",,,"SAMN05444215","PRJNA335520",,,,,,,"Oceania",,
"SRR3954780","Mb34",,,,,,,,,,,"Australia",,,"SAMN05444216","PRJNA335520",,,,,,,"Oceania",,
"SRR3954781","Mb35",,,,,,,,,,,"Australia",,,"SAMN05444217","PRJNA335520",,,,,,,"Oceania",,
"SRR3954782","Mb36",,,,,,,,,,,"Australia",,,"SAMN05444218","PRJNA335520",,,,,,,"Oceania",,
"SRR3954783","Mb37",,,,,,,,,,,"Australia",,,"SAMN05444219","PRJNA335520",,,,,,,"Oceania",,
"SRR3954784","Mb39",,,,,,,,,,,"Australia",,,"SAMN05444220","PRJNA335520",,,,,,,"Oceania",,
"SRR3954785","Mb40",,,,,,,,,,,"Australia",,,"SAMN05444221","PRJNA335520",,,,,,,"Oceania",,
"SRR3954786","Mb41",,,,,,,,,,,"Australia",,,"SAMN05444222","PRJNA335520",,,,,,,"Oceania",,
"SRR3954787","Mb42",,,,,,,,,,,"Australia",,,"SAMN05444223","PRJNA335520",,,,,,,"Oceania",,
"SRR3954788","Mb05",,,,,,,,,,,"Australia",,,"SAMN05444188","PRJNA335520",,,,,,,"Oceania",,
"SRR3954789","Mb43",,,,,,,,,,,"Australia",,,"SAMN05444224","PRJNA335520",,,,,,,"Oceania",,
"SRR3954790","Mb44",,,,,,,,,,,"Australia",,,"SAMN05444225","PRJNA335520",,,,,,,"Oceania",,
"SRR3954791","Mb45",,,,,,,,,,,"Australia",,,"SAMN05444226","PRJNA335520",,,,,,,"Oceania",,
"SRR3954792","Mb46",,,,,,,,,,,"Australia",,,"SAMN05444227","PRJNA335520",,,,,,,"Oceania",,
"SRR3954793","Mb47",,,,,,,,,,,"Australia",,,"SAMN05444228","PRJNA335520",,,,,,,"Oceania",,
"SRR3954794","Mb48",,,,,,,,,,,"Australia",,,"SAMN05444229","PRJNA335520",,,,,,,"Oceania",,
"SRR3954795","Mb50",,,,,,,,,,,"Australia",,,"SAMN05444230","PRJNA335520",,,,,,,"Oceania",,
"SRR3954796","Mb52",,,,,,,,,,,"Australia",,,"SAMN05444231","PRJNA335520",,,,,,,"Oceania",,
"SRR3954797","Mb53",,,,,,,,,,,"Australia",,,"SAMN05444232","PRJNA335520",,,,,,,"Oceania",,
"SRR3954798","Mb54",,,,,,,,,,,"Australia",,,"SAMN05444233","PRJNA335520",,,,,,,"Oceania",,
"SRR3954799","Mb06",,,,,,,,,,,"Australia",,,"SAMN05444189","PRJNA335520",,,,,,,"Oceania",,
"SRR3954800","Mb55",,,,,,,,,,,"Australia",,,"SAMN05444234","PRJNA335520",,,,,,,"Oceania",,
"SRR3954801","Mb56",,,,,,,,,,,"Australia",,,"SAMN05444235","PRJNA335520",,,,,,,"Oceania",,
"SRR3954802","Mb57",,,,,,,,,,,"Australia",,,"SAMN05444236","PRJNA335520",,,,,,,"Oceania",,
