snp-dists 0.8.2	NC_009497	227	GCA_018594715	GCA_029989345	GCA_001929505	SRR10958111	243-B21	GCA_009857975	GCA_009850655	GCA_018591955	GCA_018593635	SRR10958115	GCA_018591875	GCA_018593955	GCA_018593495	GCA_018594075	GCA_009851735	SRR10958113	GCA_020423375	GCA_018592115	GCA_018591815	GCA_029536715	SRR10958193	GCA_003354265	240	GCA_009850125	GCA_009849885	GCA_016453825	GB000944	GCA_018592295	GCA_018594215	222A	SRR17119145	234	GCA_018593675	GCA_016452465	GCA_018593735	GCA_018593745	GCA_020422985	GCA_018591855	SRR10958101	GCA_018594415	GCA_009850225	GCA_000219375	GCA_029855505	GCA_018593195	GCA_018592415	GCA_018592085	GCA_009850275	GCA_018594025	GCA_009850905	223	GCA_016452865	GCA_018592055	GCA_016453185	GCA_013423725	228	GCA_016452745	SCOT3	GCA_009850255	GCA_018592555	GCA_018594295	GCA_009850175	SRR10958130	GCA_016453325	245	GCA_018591835	SRR20305655	GCA_018591965	GCA_018591995	GCA_016453045	GCA_029989505	SCOT2	GCA_016452845	SRR20305624	GCA_011996525	GCA_009850405	GCA_009851565	GCA_018592175	SRR12686435	GCA_009849005	GCA_009852155	GCA_018593615	GB18000923	GCA_009156025	230-B21	SRR12673179	GCA_029855745	GCA_009849495	GCA_009850305	GCA_009850365	GCA_009849845	GCA_018592815	GCA_029855765	GCA_009848995	GCA_001930225	GCA_020423725	SRR3954761	SRR3954835	GCA_018592155	SCOT4	GCA_009849055	221	GCA_009851965	SRR12673135	224	241	GB18001319	SCOT1	SRR17119177	GCA_003354305	GCA_000183385	GCA_016453545	GCA_009850185	GCA_018593515	GCA_009850755	GCA_009850065	SRR12674172	GCA_003354425	GCA_018592275	GCA_009851545	226-B21	GCA_009848695	GCA_018593395	GCA_016452505	GCA_018594125	SRR17119126	GCA_029855805	229-B21	GCA_009849465	GCA_009848775	GB17005644	GCA_018593755	GCA_009850675	GCA_009852305	GCA_003354285	GCA_009851715	GCA_018593965	224B21	GCA_029855485	GCA_018593995
NC_009497	0	45559	45578	44762	45531	45288	45453	45323	45490	45542	45686	45220	45539	45598	45513	45314	45429	45499	45606	45465	44734	45630	45215	45472	45456	45702	45553	37818	45458	45714	45506	45481	45630	45379	45285	28474	45537	45583	45577	45620	45587	45537	45722	45694	45635	45757	45420	45722	45231	45576	38675	45417	28572	45091	36121	45623	45412	37191	45524	45203	45486	45403	45747	45434	36389	45450	45576	45197	45597	45637	30960	45507	45524	45534	45046	45726	45488	45385	45610	45553	45009	45705	45748	45424	45145	45382	45623	45223	45422	45530	45513	45497	45627	45528	45609	45422	45563	44985	45575	45591	45422	45667	45487	45655	45614	45421	45205	45576	45466	45494	45537	45395	29682	45451	45587	42778	45356	45528	45709	45644	45570	45352	45523	45072	36137	45610	45767	45543	45473	45188	45806	45485	45449	45461	45655	45705	45542	45291	45445	45477	45553
227	45559	0	1500	3293	2413	4293	594	7781	6906	1430	2355	1283	1599	1678	1478	3237	5046	1296	1005	1952	3473	2939	1293	3244	1322	2758	5432	1334	1311	2879	2353	1345	2338	1244	4720	2680	2431	3655	1010	3366	596	5303	3164	3259	1210	2859	1741	3791	3186	2602	2932	1308	3341	4026	1650	2818	1330	866	1331	1597	1534	2390	2488	1299	1733	593	1256	3251	3221	3330	2044	1303	1332	663	3232	3664	7098	5056	3135	571	5990	2888	3051	1309	3260	1308	548	3546	9347	754	3896	3381	2972	529	3249	1641	1180	3196	3261	2085	1305	4200	1310	3368	547	1284	475	438	1298	2203	1710	4191	3230	3584	1142	6928	3395	550	3379	2345	2751	1327	2307	3206	1512	3423	3669	3398	1308	8141	4104	1311	1863	9214	2332	1634	4786	1444	1311	1306	1879
GCA_018594715	45578	1500	0	3467	1522	4509	1310	7707	7049	725	1795	1682	2301	1185	689	2487	4425	1692	1616	1085	3721	2092	1689	3513	1717	2302	5162	1692	1707	2250	1664	1738	1471	1641	5010	2851	1791	3141	1809	2308	1363	4926	2274	2339	1673	2582	1183	3531	3565	1844	3241	1704	3455	4202	1934	2221	1726	1596	1735	2184	737	2218	1935	1697	1285	1309	809	3432	2292	3142	2292	1697	1735	1291	3419	2783	6741	5149	2202	1289	6069	2539	2236	1705	3442	1700	1266	3808	9385	1546	4222	2750	2600	1247	2393	1339	1502	2303	2358	1159	1702	3488	1706	2557	1265	1688	1399	1369	1690	1858	1269	4401	3345	2763	701	7223	3417	1257	2808	1471	2191	1724	1658	2632	2146	3359	2783	3869	1701	8088	3711	1708	993	9243	1650	1716	4949	665	1702	1698	957
GCA_029989345	44762	3293	3467	0	3317	3420	3634	6818	6479	3338	4234	3061	3570	3782	3752	4789	6247	3059	3442	3807	602	4645	3069	2273	3078	4417	5096	2807	3074	4672	3908	3102	4010	3055	5064	2857	4392	4581	3090	3884	3365	4810	4712	4741	3928	4872	3982	3353	963	3743	638	3086	3003	3160	2513	4123	3086	2998	3097	3641	3601	4545	4571	3058	3437	3633	3748	115	4145	3539	2908	3063	3098	3453	107	4488	6383	5532	4164	3627	6648	4748	4772	3073	125	3067	3613	660	9201	2947	3418	4613	4520	3523	4648	3010	2953	4657	4710	3721	3054	5803	3074	5016	3612	3103	3320	3343	3052	4315	4087	3327	2915	3870	3775	6474	2664	3605	5083	4018	3915	3080	4238	4960	2382	5120	4488	3489	3067	7983	5274	3078	3653	9127	4104	4111	5820	3617	3066	3059	3789
GCA_001929505	45531	2413	1522	3317	0	4936	2512	7604	6996	1702	1772	2595	1994	1801	1433	1990	4030	2607	2673	983	3645	1719	2605	3946	2626	2006	4766	2733	2622	1733	1191	2649	1642	2556	4483	3070	1523	2531	2781	1582	2576	4226	1766	1709	2864	2198	1686	2657	3652	1512	3159	2637	3627	4448	2594	2541	2639	2462	2650	2165	1126	2838	2009	2610	1585	2511	1917	3300	1869	2167	2761	2611	2651	2403	3287	2226	6473	4616	1702	2501	6019	1974	2131	2621	3310	2615	2485	3724	9368	2394	4431	2049	2764	2469	1743	1520	2618	1690	1728	1254	2617	2979	2621	2100	2484	2609	2364	2335	2609	2141	2066	4838	3555	2023	1790	7256	3213	2478	2214	1649	1612	2628	1577	3220	2427	2984	2232	4529	2615	8004	3399	2623	1077	9224	1474	2538	4584	1351	2617	2616	1333
SRR10958111	45288	4293	4509	3420	4936	0	4304	7340	6684	4496	5092	4197	4519	4760	4588	5553	6906	4223	3983	4950	3362	5559	4208	3269	4236	5625	5704	3816	4242	5715	5000	4277	5005	4218	5410	3343	5188	5556	4077	5391	4183	5434	5758	5784	4576	5819	4925	5095	2834	5020	2377	4229	3162	2850	3403	4920	4252	3654	4257	4474	4623	5019	5336	4223	4035	4304	4569	3358	5225	5270	3556	4227	4258	4271	3339	5642	7173	5793	5239	4310	6959	5769	5697	4233	3356	4219	4293	3447	9204	4061	3779	5554	5309	4225	5771	4425	4017	5701	5758	4755	4219	6429	4244	5873	4292	4247	4152	4179	4221	5055	5088	125	3077	5026	4548	6712	3723	4290	6141	5012	4982	4247	5343	5419	3393	5856	5642	3770	4230	8031	6090	4248	4772	9116	5116	4809	6251	4456	4224	4216	4835
243-B21	45453	594	1310	3634	2512	4304	0	7782	6947	1330	2289	1056	1710	1788	1206	3247	5201	1047	591	2041	3788	3019	1066	3204	1079	2822	5603	981	1083	2903	2159	1119	2272	1017	4759	2629	2475	3858	665	3433	408	5475	3272	3344	818	2967	1595	4154	3509	2720	3196	1079	3326	4081	1501	3037	1102	768	1101	1469	1570	2304	2470	1067	1578	3	1090	3601	3320	3346	1920	1076	1101	240	3587	3698	6897	5094	3195	148	6159	2997	2957	1081	3611	1081	125	3868	9407	762	3916	3259	2876	106	3355	1653	752	3277	3368	2068	1072	4247	1088	3400	124	1052	340	324	1071	1978	1636	4200	3225	3601	859	6987	3395	127	3489	2272	2836	1062	2207	3219	1369	3517	3699	3288	1082	8175	4266	1090	1920	9277	2412	1329	4979	1187	1082	1080	1727
GCA_009857975	45323	7781	7707	6818	7604	7340	7782	0	2746	7631	7964	7533	7695	7685	7650	8060	5532	7577	7753	7716	6653	7831	7539	7235	7576	7985	8337	6482	7589	8022	7683	7610	7703	7495	8049	5499	8002	8064	7641	7934	7768	7925	8055	7983	7539	8127	7878	7821	6987	7850	5819	7546	5551	7381	6417	7777	7578	6733	7606	7608	7661	7847	8115	7575	6496	7781	7628	6781	7809	7660	5702	7577	7612	7769	6741	8201	2312	8195	7823	7786	6235	8135	8154	7587	6813	7568	7782	6835	5268	7642	7562	7924	7856	7643	8034	7454	7395	7970	8035	7658	7573	7857	7593	7770	7775	7592	7654	7702	7565	7766	7758	7251	5550	7377	7715	5013	7117	7764	8296	7709	7642	7576	7715	7875	6430	8000	8213	7617	7586	5754	6919	7591	7591	5174	7770	8042	5537	7466	7568	7545	7685
GCA_009850655	45490	6906	7049	6479	6996	6684	6947	2746	0	6853	7360	6862	6828	7041	7011	7429	5513	6904	6856	6973	6369	7275	6867	6615	6904	7408	8033	6011	6912	7499	7158	6941	7008	6815	7523	5123	7327	7625	6924	7329	6891	7735	7483	7453	6845	7594	7144	7196	6521	7327	5449	6866	5182	6912	5810	7237	6908	6044	6936	6766	6926	7471	7476	6898	5990	6946	6920	6470	7236	7052	5343	6907	6936	6918	6431	7652	4246	7870	7239	6957	5612	7431	7410	6913	6476	6891	6950	6545	5850	6752	6956	7576	7398	6807	7453	6927	6779	7394	7461	6951	6894	7402	6916	7202	6943	6921	6816	6845	6895	7250	7153	6620	5100	7062	7008	4058	6567	6932	7724	7014	7166	6905	7206	7298	5882	7461	7664	6953	6915	5105	5821	6920	6958	5791	7090	7424	6235	6813	6899	6871	7068
GCA_018591955	45542	1430	725	3338	1702	4496	1330	7631	6853	0	2249	1642	2054	1326	1060	2728	4624	1653	1663	1254	3656	2307	1651	3451	1671	2473	5302	1716	1668	2429	1857	1704	1504	1603	4820	2708	2074	3336	1830	2688	1373	4980	2489	2551	1871	2797	1138	3278	3608	2097	3102	1665	3294	4040	1984	2234	1687	1608	1696	1963	1105	2403	2434	1658	1322	1329	1170	3317	2567	2943	2242	1658	1696	1342	3307	3175	6507	5328	2477	1293	6200	2852	2311	1666	3327	1661	1295	3734	9340	1443	3897	2832	2675	1211	2562	1657	1493	2524	2573	1660	1663	3597	1667	2848	1294	1656	1385	1355	1656	2407	1216	4390	3190	2811	1078	7043	3327	1290	3019	1504	2479	1685	1809	2763	2211	3548	3181	3568	1662	8063	3763	1669	1281	9199	1931	1997	5108	1029	1663	1661	1040
