"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv0008c","Mb0008c","cell wall and cell processes","145 aa overlap",,,," 145 aa",," 145 aa ","possible membrane protein"
"Rv0009","Mb0009","information pathways","182 aa overlap","ppiA",,," 182 aa",," 182 aa ","probable iron-regulated peptidyl-prolyl cis-trans isomerase a ppia ppiase a rotamase a"
"Rv0011c","Mb0011c","cell wall and cell processes","93 aa overlap",,,," 93 aa",," 93 aa ","probable conserved transmembrane protein"
"Rv0014c","Mb0014c","regulatory proteins","626 aa overlap","pknB",,," 626 aa",," 626 aa ","transmembrane serine/threonine-protein kinase b pknb protein kinase b stpk b"
"Rv0015c","Mb0015c","regulatory proteins","431 aa overlap","pknA",,," 431 aa",," 431 aa ","transmembrane serine/threonine-protein kinase a pkna protein kinase a stpk a"
"Rv0016c","Mb0016c","cell wall and cell processes","491 aa overlap","pbpA",,," 491 aa",," 491 aa ","probable penicillin-binding protein pbpa"
"Rv0017c","Mb0017c","cell wall and cell processes","469 aa overlap","rodA",,," 469 aa",," 469 aa ","probable cell division protein roda"
"Rv0019c","Mb0019c","regulatory proteins","155 aa overlap","fhab",,," 155 aa",," 155 aa ","conserved protein with fha domainc fhab"
"Rv0022c","Mb0022c","regulatory proteins","139 aa overlap","whiB5",,," 139 aa",," 139 aa ","probable transcriptional regulatory protein whib-like whib5"
"Rv0023","Mb0023","regulatory proteins","256 aa overlap",,,," 256 aa",," 256 aa ","possible transcriptional regulatory protein"
"Rv0027","Mb0028","conserved hypothetical protein","105 aa overlap",,,," 105 aa",," 105 aa ","conserved hypothetical protein"
"Rv0028","Mb0029","conserved hypothetical protein","101 aa overlap",,,," 101 aa",," 101 aa ","conserved hypothetical protein"
"Rv0030","Mb0031","conserved hypothetical protein","109 aa overlap",,,," 109 aa",," 109 aa ","conserved hypothetical protein"
"Rv0031","Mb0032","insertion seqs and phages","70 aa overlap",,,," 70 aa",," 70 aa ","possible remnant of a transposase"
"Rv0032","Mb0033","intermediate metabolism and respiration","771 aa overlap","bioF2",,," 771 aa",," 771 aa ","possible 8-amino-7-oxononanoate synthase biof2 aons 8-amino-7-ketopelargonate synthase 7-keto-8-amino-pelargonic acid synthetase 7-kap synthetase l-alanine--pimelyl coa ligase"
"Rv0033","Mb0034","lipid metabolism","87 aa overlap","acpA",,," 87 aa",," 87 aa ","probable acyl carrier protein acpa acp"
"Rv0034","Mb0035","conserved hypothetical protein","131 aa overlap",,,," 131 aa",," 131 aa ","conserved hypothetical protein"
