"PATRIC ID","locus_tag","Feature ID","Start","End","Length","Strand","FIGfam ID","PATRIC genus-specific families (PLfams)","Protein ID","AA Length","Gene Symbol","product","GO"
"fig|83332.12.peg.1000","Rv0897c","PATRIC.83332.12.NC_000962.CDS.1000808.1002415.rev",1000808,1002415,1608,"-","FIG00071345","PLF_1763_00001652","NP_215412.1",535,,"Beta-carotene ketolase",
"fig|83332.12.peg.1001","Rv0898c","PATRIC.83332.12.NC_000962.CDS.1002441.1002704.rev",1002441,1002704,264,"-","FIG00821892","PLF_1763_00001934","NP_215413.1",87,,"hypothetical protein",
"fig|83332.12.peg.1002","Rv0899","PATRIC.83332.12.NC_000962.CDS.1002917.1003792.fwd",1002917,1003792,876,"+","FIG01111221","PLF_1763_00021396","NP_215414.1",291,"ompA","Outer membrane low permeability porin, OmpATb family",
"fig|83332.12.peg.1003","Rv0900","PATRIC.83332.12.NC_000962.CDS.1003805.1003957.fwd",1003805,1003957,153,"+","FIG00692835","PLF_1763_00003246","NP_215415.1",50,,"hypothetical protein",
"fig|83332.12.peg.1004","Rv0901","PATRIC.83332.12.NC_000962.CDS.1003957.1004484.fwd",1003957,1004484,528,"+","FIG01334926","PLF_1763_00003200","NP_215416.1",175,,"hypothetical protein",
"fig|83332.12.peg.1005","Rv0902c","PATRIC.83332.12.NC_000962.CDS.1004501.1005841.rev",1004501,1005841,1341,"-","FIG01405604","PLF_1763_00000138","NP_215417.1",446,"prrB","Sensor-type histidine kinase prrB (EC 2.7.13.3)",
"fig|83332.12.peg.1006","Rv0903c","PATRIC.83332.12.NC_000962.CDS.1005852.1006562.rev",1005852,1006562,711,"-","FIG01031438","PLF_1763_00374132","NP_215418.1",236,"prrA","Two-component transcriptional response regulator, OmpR family",
"fig|83332.12.peg.1007","Rv0904c","PATRIC.83332.12.NC_000962.CDS.1006693.1008180.rev",1006693,1008180,1488,"-","FIG01303802","PLF_1763_00001421","NP_215419.1",495,"accD3","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)","GO:0003989|acetyl-CoA carboxylase activity"
"fig|83332.12.peg.105","Rv0092","PATRIC.83332.12.NC_000962.CDS.100718.102868.fwd",100718,102868,2151,"+","FIG00658111","PLF_1763_00002410","NP_214606.1",716,"ctpA","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0004008|copper-exporting ATPase activity"
"fig|83332.12.peg.1008","Rv0905","PATRIC.83332.12.NC_000962.CDS.1008207.1008938.fwd",1008207,1008938,732,"+","FIG00033206","PLF_1763_00001109","NP_215420.1",243,"echA6","Enoyl-CoA hydratase (EC 4.2.1.17)","GO:0004300|enoyl-CoA hydratase activity"
"fig|83332.12.peg.1009","Rv0906","PATRIC.83332.12.NC_000962.CDS.1008944.1010062.fwd",1008944,1010062,1119,"+","FIG01371060","PLF_1763_00000156","NP_215421.1",372,,"Outer membrane protein romA",
"fig|83332.12.peg.1010",,"PATRIC.83332.12.NC_000962.CDS.1010047.1010346.fwd",1010047,1010346,300,"+","FIG00000747","PLF_1763_00096882",,99,,"hypothetical protein",
"fig|83332.12.peg.1011","Rv0907","PATRIC.83332.12.NC_000962.CDS.1010313.1011734.fwd",1010313,1011734,1422,"+","FIG00000747","PLF_1763_00001846","NP_215422.1",473,,"Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain",
"fig|83332.12.peg.1012","Rv0908","PATRIC.83332.12.NC_000962.CDS.1011731.1014124.fwd",1011731,1014124,2394,"+","FIG01322067","PLF_1763_00001274","NP_215423.1",797,"ctpE","Cation-transporting ATPase, E1-E2 family",
"fig|83332.12.peg.1013",,"PATRIC.83332.12.NC_000962.CDS.1014400.1014555.fwd",1014400,1014555,156,"+","FIG00820575","PLF_1763_00003435",,51,,"hypothetical protein",
"fig|83332.12.peg.1014","Rv0909","PATRIC.83332.12.NC_000962.CDS.1014681.1014860.fwd",1014681,1014860,180,"+","FIG00821392","PLF_1763_00175027","NP_215424.1",59,,"Uncharacterized protein MSMEG_5635",
"fig|83332.12.peg.1015","Rv0910","PATRIC.83332.12.NC_000962.CDS.1014866.1015300.fwd",1014866,1015300,435,"+","FIG00820675","PLF_1763_00011206","NP_215425.1",144,,"hypothetical protein",
"fig|83332.12.peg.1016","Rv0911","PATRIC.83332.12.NC_000962.CDS.1015398.1016171.fwd",1015398,1016171,774,"+","FIG01326450","PLF_1763_00150744","NP_215426.1",257,,"Putative hydroxylase",
"fig|83332.12.peg.1017","Rv0912","PATRIC.83332.12.NC_000962.CDS.1016266.1016685.fwd",1016266,1016685,420,"+","FIG00662132","PLF_1763_00002354","NP_215427.1",139,,"putative membrane protein",
