"Entry","Entry name","Status","Gene names","product","Length","Keywords","Protein families","Cross-reference (KEGG)",,,,,,,,,,
"O05442","CPNT_MYCTU","reviewed","cpnT Rv3903c","Outer membrane channel protein CpnT (Channel protein with necrosis-inducing toxin) [Cleaved into: N-terminal channel domain; Tuberculosis necrotizing toxin (TNT) (NAD(+) glycohydrolase) (EC 3.2.2.5)]",846,"3D-structure;Cell outer membrane;Complete proteome;Host cytoplasm;Hydrolase;Ion transport;Membrane;NAD;Porin;Reference proteome;Secreted;Toxin;Transmembrane;Transmembrane beta strand;Transport;Virulence",,"mtu:Rv3903c;mtv:RVBD_3903c;",,,,,,,,,,
"P9WNK7","ESXA_MYCTU","reviewed","esxA esaT6 Rv3875 MTV027.10","6 kDa early secretory antigenic target (ESAT-6)",95,"3D-structure;Acetylation;Apoptosis;Cell wall;Coiled coil;Complete proteome;Direct protein sequencing;Host cell membrane;Host cytoplasm;Host endoplasmic reticulum;Host membrane;Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence","WXG100 family"," ESAT-6 subfamily","mtu:Rv3875;",,,,,,,,,
"P9WGR1","INHA_MYCTU","reviewed","inhA Rv1484 MTCY277.05","Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (Enoyl-ACP reductase) (EC 1.3.1.9) (FAS-II enoyl-ACP reductase) (NADH-dependent 2-trans-enoyl-ACP reductase)",269,"3D-structure;Antibiotic resistance;Complete proteome;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;NAD;Oxidoreductase;Phosphoprotein;Reference proteome","Short-chain dehydrogenases/reductases (SDR) family"," FabI subfamily","mtu:Rv1484;",,,,,,,,,
"P9WJF1","DPRE1_MYCTU","reviewed","dprE1 Rv3790","Decaprenylphosphoryl-beta-D-ribose oxidase (EC 1.1.98.3) (Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE1) (Decaprenyl-phosphoribose 2'-epimerase subunit 1) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-oxidase) (Decaprenylphosphoryl-beta-D-ribose 2-epimerase flavoprotein subunit) (FAD-dependent decaprenylphosphoryl-beta-D-ribofuranose 2-oxidase)",461,"3D-structure;Antibiotic resistance;Cell wall biogenesis/degradation;Complete proteome;FAD;Flavoprotein;Oxidoreductase;Periplasm;Reference proteome","DprE1 family","mtu:Rv3790;",,,,,,,,,,
"P9WI81","PKNB_MYCTU","reviewed","pknB Rv0014c MTCY10H4.14c","Serine/threonine-protein kinase PknB (EC 2.7.11.1)",626,"3D-structure;ATP-binding;Acetylation;Cell membrane;Complete proteome;Direct protein sequencing;Kinase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix;Virulence","Protein kinase superfamily"," Ser/Thr protein kinase family","mtu:Rv0014c;",,,,,,,,,
"P9WGK3","DEVS_MYCTU","reviewed","devS dosS Rv3132c","Oxygen sensor histidine kinase response regulator DevS/DosS (EC 2.7.13.3)",578,"3D-structure;ATP-binding;Acetylation;Complete proteome;Cytoplasm;Heme;Iron;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Transferase;Two-component regulatory system",,"mtu:Rv3132c;",,,,,,,,,,
"P9WG47","GYRA_MYCTU","reviewed","gyrA Rv0006 MTCY10H4.04","DNA gyrase subunit A (EC 5.99.1.3) (Type IIA topoisomerase subunit GyrA)",838,"3D-structure;ATP-binding;Acetylation;Antibiotic resistance;Calcium;Complete proteome;Cytoplasm;DNA-binding;Isomerase;Nucleotide-binding;Reference proteome;Topoisomerase","Type II topoisomerase GyrA/ParC subunit family","mtu:Rv0006;",,,,,,,,,,
"P9WNK5","ESXB_MYCTU","reviewed","esxB cfp10 lhp mtsA10 Rv3874 MTV027.09","ESAT-6-like protein EsxB (10 kDa culture filtrate antigen CFP-10) (CFP-10) (Secreted antigenic protein MTSA-10)",100,"3D-structure;Acetylation;Cell wall;Chaperone;Coiled coil;Complete proteome;Direct protein sequencing;Host endoplasmic reticulum;Reference proteome;Secreted;Virulence","WXG100 family"," CFP-10 subfamily","mtu:Rv3874;",,,,,,,,,
"P9WIF5","PG33_MYCTU","reviewed","PE_PGRS33 Rv1818c MTCY1A11.25c","PE-PGRS family protein PE_PGRS33",498,"Calcium;Cell outer membrane;Cell wall;Complete proteome;Membrane;Reference proteome;Secreted;Virulence","Mycobacterial PE family"," PGRS subfamily","mtu:Rv1818c;mtv:RVBD_1818c;",,,,,,,,,
"P9WIE5","KATG_MYCTU","reviewed","katG Rv1908c MTCY180.10","Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)",740,"3D-structure;Antibiotic resistance;Complete proteome;Heme;Hydrogen peroxide;Iron;Metal-binding;Organic radical;Oxidoreductase;Peroxidase;Reference proteome;Virulence","Peroxidase family"," Peroxidase/catalase subfamily","mtu:Rv1908c;",,,,,,,,,
"P9WMF9","DEVR_MYCTU","reviewed","devR dosR Rv3133c","DNA-binding transcriptional activator DevR/DosR",217,"3D-structure;Activator;Complete proteome;Cytoplasm;DNA-binding;Host cytoplasmic vesicle;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system",,"mtu:Rv3133c;",,,,,,,,,,
"P9WK61","LPQH_MYCTU","reviewed","lpqH Rv3763 MTV025.111","Lipoprotein LpqH (19 kDa lipoprotein antigen) (Putative transporter LpqH) (p19)",159,"3D-structure;Cell membrane;Cell wall;Complete proteome;Disulfide bond;Glycoprotein;Host cytoplasm;Lipoprotein;Membrane;Palmitate;Reference proteome;Secreted;Signal;Transport;Virulence","Mycobacterial 19 kDa antigen family","mtu:Rv3763;",,,,,,,,,,
"P9WMK1","ACR_MYCTU","reviewed","hspX acr Rv2031c MTV018.18c","Alpha-crystallin (Acr) (14 kDa antigen) (16 kDa antigen) (HSP 16.3) (Nox16)",144,"Cell wall;Chaperone;Complete proteome;Cytoplasm;Direct protein sequencing;Isopeptide bond;Reference proteome;Secreted;Ubl conjugation","Small heat shock protein (HSP20) family","mtu:Rv2031c;",,,,,,,,,,
"P9WHU1","PSA_MYCTU","reviewed","prcA Rv2109c","Proteasome subunit alpha (EC 3.4.25.1) (20S proteasome alpha subunit) (Proteasome core protein PrcA)",248,"3D-structure;Acetylation;Complete proteome;Cytoplasm;Direct protein sequencing;Hydrolase;Phosphoprotein;Protease;Proteasome;Reference proteome;Threonine protease;Virulence","Peptidase T1A family","mtu:Rv2109c;",,,,,,,,,,
"P9WKD3","BLAC_MYCTU","reviewed","blaC blaA Rv2068c MTCY49.07c","Beta-lactamase (EC 3.5.2.6) (Ambler class A beta-lactamase)",307,"3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Complete proteome;Hydrolase;Membrane;Periplasm;Reference proteome;Secreted;Signal","Class-A beta-lactamase family","mtu:Rv2068c;",,,,,,,,,,
"P9WHT9","PSB_MYCTU","reviewed","prcB Rv2110c","Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PrcB)",291,"3D-structure;Autocatalytic cleavage;Complete proteome;Cytoplasm;Direct protein sequencing;Hydrolase;Phosphoprotein;Protease;Proteasome;Reference proteome;Threonine protease;Virulence;Zymogen","Peptidase T1B family","mtu:Rv2110c;",,,,,,,,,,
