,id,AssemblyAccession,BioSampleAccn,BioSampleId,SubmitterOrganization,GenbankAccession,strain,host,collection_date,geo_loc_name,sample_type,link,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,lat_lon,num_replicons,ref_biomaterial,isolation_source,collected_by,host_disease,isolate,depth,elev,derived-from,eLMSG_genome_id,eLMSG_link,metagenomic,environmental-sample,metagenome-source,passage_history,host_tissue_sampled,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,collection date,common name,geographic location (country and/or sea),geographic location (region and locality),host health state,host scientific name,host_clinical_signs,isolation source,sample name,assembly quality,assembly software,binning parameters,binning software,broker name,completeness score,completeness software,contamination score,environment (biome),environment (feature),environment (material),geographic location (latitude),geographic location (longitude),investigation type,metagenomic source,project name,sample derived from,sequencing method,taxonomic identity marker,biomaterial_provider,isolate_name_alias,SHEN,isolation-source,country,host_age,culture-collection,note,clone,type-material,collection-date,nat-host,region,pair,kk_code,tissue,source,PCR_DDGE,clade
GCA_032463445,19098541,GCF_032463445.1,SAMN37573123,37573123,Ningxia University,GCA_032463445.1,NX114,Bos taurus,2022-04-25,China:yinchuan,Veterinary Microbiology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/463/445/GCA_032463445.1_ASM3246344v1/GCA_032463445.1_ASM3246344v1.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,China,,,,,,
GCA_016452265,18700801,GCF_016452265.2,SAMN15246619,15246619,Belgian Mycoplasma consortium,GCA_016452265.2,Mb227,Bos taurus,2018,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/265/GCA_016452265.2_ASM1645226v2/GCA_016452265.2_ASM1645226v2.fna.gz,Beef,Deep nasal swab,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016452245,18700791,GCF_016452245.2,SAMN15246620,15246620,Belgian Mycoplasma consortium,GCA_016452245.2,Mb196,Bos taurus,2017,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/245/GCA_016452245.2_ASM1645224v2/GCA_016452245.2_ASM1645224v2.fna.gz,Beef,Broncheoalveolar Lavage,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016452225,18486841,GCF_016452225.2,SAMN15246621,15246621,Belgian Mycoplasma consortium,GCA_016452225.2,Mb239,Bos taurus,2018,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/225/GCA_016452225.2_ASM1645222v2/GCA_016452225.2_ASM1645222v2.fna.gz,Beef,Broncheoalveolar Lavage,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016454145,16637481,GCA_016454145.2,SAMN15246515,15246515,Belgian Mycoplasma consortium,GCA_016454145.2,Mb49,Bos taurus,2016,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/454/145/GCA_016454145.2_ASM1645414v2/GCA_016454145.2_ASM1645414v2.fna.gz,Veal,Broncheoalveolar Lavage,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016453705,16637471,GCF_016453705.1,SAMN15246539,15246539,Belgian Mycoplasma consortium,GCA_016453705.2,Mb169,Bos taurus,2017,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/453/705/GCA_016453705.2_ASM1645370v2/GCA_016453705.2_ASM1645370v2.fna.gz,Dairy,Lung,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016453625,16637461,GCF_016453625.1,SAMN15246543,15246543,Belgian Mycoplasma consortium,GCA_016453625.2,Mb222,Bos taurus,2018,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/453/625/GCA_016453625.2_ASM1645362v2/GCA_016453625.2_ASM1645362v2.fna.gz,Beef,Milk,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016453205,16637451,GCF_016453205.1,SAMN15246566,15246566,Belgian Mycoplasma consortium,GCA_016453205.2,VK22,Bos taurus,2017,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/453/205/GCA_016453205.2_ASM1645320v2/GCA_016453205.2_ASM1645320v2.fna.gz,Veal,Deep nasal swab,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016452845,16637441,GCA_016452845.2,SAMN15246586,15246586,Belgian Mycoplasma consortium,GCA_016452845.2,Mb287,Bos taurus,2019,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/845/GCA_016452845.2_ASM1645284v2/GCA_016452845.2_ASM1645284v2.fna.gz,Dairy,Broncheoalveolar Lavage,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016452485,16629331,GCF_016452485.1,SAMN15246607,15246607,Belgian Mycoplasma consortium,GCA_016452485.2,Mb216,Bos taurus,2017,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/485/GCA_016452485.2_ASM1645248v2/GCA_016452485.2_ASM1645248v2.fna.gz,Beef,Deep nasal swab,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
