locus_tag,product_doerks,new_category,annot_method,Associations,Source,hyperlink to source page
Rv2032,nitroreductase,F,Textmining,Nitroreductases,PMID: 11854240,http://www.ncbi.nlm.nih.gov/pubmed?term=11854240
Rv2275,cyclodithyrosine,F,Textmining,Catalytic Domain,PMID: 21325056,http://www.ncbi.nlm.nih.gov/pubmed?term=21325056
Rv3395c,damage tolerance,C,Textmining,Gene Deletion,PMID: 20615954,http://www.ncbi.nlm.nih.gov/pubmed?term=20615954
Rv2908c,Predicted RNA-binding protein (contains KH domain),C,Orthology,COG1837,eggnog.embl.de,COG1837
Rv2185c,Cyclase/Dehydrase,F,Orthology,NOG13431,eggnog.embl.de,NOG13431
Rv0499,Protein involved in activation of protein kinase C by G-protein coupled receptor protein signaling pathway ,C,Orthology,NOG44548,eggnog.embl.de,NOG44548
Rv1592c,Secretory lipase,A,Orthology,NOG07392,eggnog.embl.de,NOG07392
Rv3094c,Acyl-CoA dehydrogenases,F,Orthology,COG1960,eggnog.embl.de,COG1960
Rv0142,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,H,Orthology,COG0122,eggnog.embl.de,COG0122
Rv3376,Predicted hydrolase (HAD superfamily),F,Orthology,COG1011,eggnog.embl.de,COG1011
Rv1021,Predicted pyrophosphatase,F,Orthology,COG1694,eggnog.embl.de,COG1694
Rv1179c,DNA or RNA helicases of superfamily II,H,Orthology,COG1061,eggnog.embl.de,COG1061
Rv2917,DNA or RNA helicases of superfamily II,H,Orthology,COG1061,eggnog.embl.de,COG1061
Rv0574c,Putative enzyme of poly-gamma-glutamate biosynthesis (capsule formation),F,Orthology,COG2843,eggnog.embl.de,COG2843
Rv0264c,Allophanate hydrolase subunit 1,F,Orthology,COG2049,eggnog.embl.de,COG2049
Rv3788,Transcription elongation factor,H,Orthology,COG0782,eggnog.embl.de,COG0782
Rv1287,Predicted transcriptional regulator,C,Orthology,COG1959,eggnog.embl.de,COG1959
Rv1636,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv2319c,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv2005c,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv2026c,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv2623,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv1996,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv3134c,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
