"locus_tag","confidence","p-value","PDB_ID","SCOP_ID"
"Rv0001","CERT",4E-08,"1fnnA0","a.4.5.11"
"Rv0002","CERT",5E-10,"2polA0","d.131.1.1"
"Rv0003","CERT",3E-05,"1f2tA0","c.37.1.12"
"Rv0004","MEDIUM",0.007,"1ivhA2","NULL"
"Rv0005","CERT",1E-07,"1aj600","d.122.1.2"
"Rv0006","CERT",8E-09,"1bjt00","e.11.1.1"
"Rv0007","MEDIUM",0.005,"1c1gB0","NULL"
"Rv0008c","MEDIUM",0.006,"1bi000","a.4.5.24"
"Rv0009","LOW",0.016,"1mfmA0","b.1.8.1"
"Rv0010c","LOW",0.028,"1ebdA2","NULL"
"Rv0011c","LOW",0.055,"1fshA0","a.4.5.31"
"Rv0012","LOW",0.017,"1qhfA0","c.60.1.1"
"Rv0013","CERT",3E-08,"1qdlB0","c.23.16.1"
"Rv0014c","CERT",1E-07,"1fmk03","NULL"
"Rv0015c","CERT",3E-07,"1fmk03","NULL"
"Rv0016c","CERT",7E-08,"1e25A0","e.3.1.1"
"Rv0017c","LOW",0.013,"2tct00","a.4.1.9"
"Rv0018c","CERT",2E-08,"1a6q00","a.159.1.1"
"Rv0019c","HIGH",0.0004,"1qu5A0","b.26.1.2"
"Rv0020c","HIGH",0.0002,"1qu5A0","b.26.1.2"
"Rv0021c","CERT",3E-07,"1gox00","c.1.4.1"
"Rv0022c","MEDIUM",0.005,"1amm02","NULL"
"Rv0023","HIGH",0.0003,"1e2xA0","a.4.5.6"
"Rv0024","MEDIUM",0.002,"1gpeA1","NULL"
"Rv0025","MEDIUM",0.002,"1xgsA2","NULL"
"Rv0026","MEDIUM",0.001,"2tct00","a.4.1.9"
"Rv0027","LOW",0.014,"1qspA0","a.24.10.2"
"Rv0028","LOW",0.01,"1fts01","NULL"
"Rv0029","CERT",1E-05,"1qs0B0","c.36.1.7"
"Rv0030","MEDIUM",0.009,"1a6dA3","NULL"
"Rv0031","GUESS",0.494,"1a6cA1","NULL"
"Rv0032","CERT",1E-09,"1d2fA0","c.67.1.3"
"Rv0033","MEDIUM",0.005,"1dnyA0","a.28.1.2"
"Rv0034","MEDIUM",0.005,"1ithA0","a.1.1.2"
"Rv0034","CERT",6E-10,"1amuA0","e.23.1.1"
"Rv0036c","MEDIUM",0.008,"1ec7A2","NULL"
"Rv0037c","LOW",0.015,"1ajsA0","c.67.1.1"
"Rv0038","LOW",0.029,"1gdhA0","c.2.1.4"
"Rv0039c","LOW",0.017,"1c5200","a.3.1.1"
"Rv0040","MEDIUM",0.006,"1fohA0","c.3.1.2"
"Rv0041","CERT",3E-08,"1gaxA0","a.2.7.3"
"Rv0042c","HIGH",0.0002,"1bi000","a.4.5.24"
"Rv0043c","CERT",5E-07,"1e2xA0","a.4.5.6"
"Rv0044c","CERT",3E-08,"1lucA0","c.1.16.1"
"Rv0045c","CERT",2E-08,"1bn6A0","c.69.1.8"
"Rv0046c","MEDIUM",0.003,"2pgd00","a.100.1.1"
"Rv0047c","LOW",0.037,"1xgsA2","NULL"
"Rv0048c","MEDIUM",0.002,"1fpqA0","a.4.5.29"
"Rv0049","LOW",0.057,"1f3yA0","d.113.1.1"
"Rv0049","CERT",2E-07,"1fofA0","e.3.1.1"
"Rv0051","LOW",0.054,"1f3yA0","d.113.1.1"
"Rv0052","MEDIUM",0.001,"1ecpA0","c.56.2.1"
"Rv0053","MEDIUM",0.004,"1a2oA1","NULL"
"Rv0054","LOW",0.059,"1f42A3","NULL"
"Rv0055","GUESS",0.535,"1qeyA0","h.2.1.1"
"Rv0056","MEDIUM",0.008,"1dqwA0","c.1.2.3"
"Rv0057","LOW",0.013,"1gdhA1","NULL"
"Rv0058","CERT",5E-09,"1dq3A0","b.86.1.2"
"Rv0059","LOW",0.03,"1qqp20","b.121.4.1"
"Rv0060","MEDIUM",0.001,"1fpxA0","a.4.5.29"
"Rv0061","GUESS",0.223,"1gbnA0","c.67.1.4"
"Rv0049","LOW",0.03,"1jxhA0","c.72.1.2"
"Rv0063","CERT",1E-07,"1f0xA0","d.58.32.2"
"Rv0064","MEDIUM",0.009,"1a5300","c.1.2.4"
"Rv0065","MEDIUM",0.005,"2mnr02","NULL"
"Rv0066c","MEDIUM",0.003,"1fnnA0","a.4.5.11"
"Rv0067c","CERT",1E-06,"2tct00","a.4.1.9"
"Rv0068","CERT",1E-07,"1qrrA0","c.2.1.2"
"Rv0069c","MEDIUM",0.002,"1jxhA0","c.72.1.2"
"Rv0070c","CERT",6E-10,"1bj4A0","c.67.1.4"
"Rv0071","LOW",0.023,"1fohA0","c.3.1.2"
"Rv0072","MEDIUM",0.005,"1fohA0","c.3.1.2"
"Rv0073","CERT",2E-08,"1gajA0","c.37.1.12"
"Rv0074","CERT",1E-08,"1ubpC0","b.92.1.1"
"Rv0075","CERT",6E-10,"1bjwA0","c.67.1.1"
"Rv0076c","GUESS",0.138,"1d4uA1","NULL"
"Rv0077c","CERT",3E-09,"1bn6A0","c.69.1.8"
"Rv0078","CERT",4E-07,"2tct00","a.4.1.9"
"Rv0079","HIGH",0.0003,"1fohA5","NULL"
"Rv0080","MEDIUM",0.002,"1jehA2","NULL"
"Rv0081","HIGH",0.0002,"1bia00","a.4.5.1"
"Rv0082","HIGH",0.0005,"1bmtA2","NULL"
"Rv0083","HIGH",0.0009,"1d2fA0","c.67.1.3"
"Rv0084","MEDIUM",0.004,"1bif02","NULL"
"Rv0085","MEDIUM",0.002,"7odcA2","NULL"
"Rv0086","HIGH",0.0006,"1pymA0","c.1.12.7"
"Rv0087","HIGH",0.0003,"1gkxA0","a.29.5.1"
"Rv0088","LOW",0.079,"1gpeA1","NULL"
"Rv0089","CERT",1E-07,"1fp1D2","NULL"
"Rv0090","CERT",3E-05,"1pymA0","c.1.12.7"
"Rv0091","CERT",7E-09,"1ecpA0","c.56.2.1"
"Rv0092","CERT",2E-05,"1f5sA0","c.108.1.4"
"Rv0093c","HIGH",0.0007,"1ivhA2","NULL"
"Rv0094c","GUESS",0.138,"1bhu00","b.11.1.3"
"Rv0095c","LOW",0.011,"1fqvD0","a.157.1.1"
"Rv0095c","MEDIUM",0.005,"1ga1A0","c.41.1.2"
"Rv0097","CERT",5E-06,"1drtA0","b.82.2.2"
"Rv0098","GUESS",0.305,"1qasA2","NULL"
"Rv0099","CERT",4E-10,"1amuA0","e.23.1.1"
"Rv0100","MEDIUM",0.002,"1dnyA0","a.28.1.2"
"Rv0101","CERT",4E-10,"1amuA0","e.23.1.1"
"Rv0102","HIGH",0.0002,"1fohA0","c.3.1.2"
"Rv0103c","CERT",2E-05,"1j8dA0","c.108.1.5"
"Rv0104","CERT",2E-05,"1cx4A0","b.82.3.2"
"Rv0104","GUESS",0.125,"2tct01","NULL"
"Rv0106","HIGH",0.0004,"1iirA0","c.87.1.5"
"Rv0107c","CERT",5E-06,"1f5sA0","c.108.1.4"
"Rv0108c","LOW",0.078,"1qf6A0","c.51.1.1"
"Rv0109","HIGH",0.0006,"1bjnA0","c.67.1.4"
"Rv0110","MEDIUM",0.005,"1gkkA0","c.69.1.2"
"Rv0111","MEDIUM",0.002,"1qtrA0","c.69.1.7"
"Rv0112","CERT",5E-09,"1qrrA0","c.2.1.2"
"Rv0113","CERT",5E-06,"2pgi00","c.80.1.2"
"Rv0114","HIGH",0.0005,"1f5sA0","c.108.1.4"
"Rv0115","CERT",2E-09,"1fwlB0","NULL"
"Rv0116c","MEDIUM",0.004,"2pia01","NULL"
"Rv0117","CERT",3E-08,"1al300","c.94.1.1"
"Rv0118c","CERT",6E-10,"1bfd00","c.31.1.3"
"Rv0119","CERT",7E-10,"1amuA0","e.23.1.1"
"Rv0120c","CERT",7E-06,"1jwyB0","c.37.1.8"
"Rv0121c","MEDIUM",0.004,"1j4fA0","None"
"Rv0122","MEDIUM",0.008,"1mpyA1","NULL"
"Rv0123","LOW",0.038,"1pytA0","NULL"
"Rv0124","HIGH",0.0008,"1gajA0","c.37.1.12"
"Rv0125","CERT",2E-05,"1qq4A0","b.47.1.1"
"Rv0126","CERT",5E-10,"1uok00","b.71.1.1"
"Rv0127","MEDIUM",0.003,"1ebmA0","a.96.1.3"
"Rv0128","LOW",0.017,"1vdc00","c.3.1.5"
"Rv0129","CERT",2E-09,"1dqyA0","c.69.1.3"
"Rv0130","LOW",0.018,"1qfhA0","b.1.18.10"
"Rv0131c","CERT",9E-09,"1ivhA2","NULL"
"Rv0132c","CERT",2E-09,"1ezwA0","c.1.16.3"
"Rv0133","CERT",6E-05,"1qsmA0","d.108.1.1"
"Rv0134","CERT",6E-09,"1c4xA0","c.69.1.10"
"Rv0135c","CERT",1E-05,"1jusE0","a.4.1.9"
"Rv0136","CERT",1E-09,"1dt6A0","a.104.1.1"
"Rv0137c","CERT",4E-07,"1fvaA0","d.58.28.1"
"Rv0138","MEDIUM",0.001,"1xgsA2","NULL"
"Rv0139","CERT",1E-08,"1qrrA0","c.2.1.2"
"Rv0140","GUESS",0.103,"1ebuA0","c.2.1.3"
"Rv0141c","MEDIUM",0.006,"1d0nA3","NULL"
"Rv0142","CERT",6E-09,"1mpgA0","a.96.1.3"
"Rv0143c","MEDIUM",0.001,"1bgvA1","NULL"
"Rv0144","CERT",4E-06,"2tct00","a.4.1.9"
"Rv0145","HIGH",0.0002,"1fp2A2","NULL"
"Rv0146","MEDIUM",0.006,"1ezwA0","c.1.16.3"
"Rv0147","CERT",9E-05,"2nadA0","c.2.1.4"
"Rv0148","CERT",3E-08,"1cydA0","c.2.1.2"
"Rv0149","CERT",1E-09,"2ohxA0","b.35.1.2"
"Rv0150c","GUESS",0.139,"1aho00","g.3.7.1"
"Rv0151c","MEDIUM",0.006,"1c3qA0","c.72.1.2"
"Rv0152c","LOW",0.033,"1a2vA0","b.30.2.1"
"Rv0153c","HIGH",0.0008,"1d5rA2","NULL"
"Rv0154c","CERT",2E-08,"1ivhA2","NULL"
"Rv0155","CERT",3E-08,"1gdhA0","c.2.1.4"
"Rv0156","LOW",0.025,"1pvdA1","NULL"
"Rv0157","CERT",1E-07,"1d4oA0","c.31.1.4"
"Rv0158","CERT",9E-07,"2tct00","a.4.1.9"
"Rv0159","LOW",0.083,"1dqyA0","c.69.1.3"
"Rv0160","LOW",0.093,"1iioA0","a.39.4.1"
"Rv0161","CERT",2E-09,"1f0xA0","d.58.32.2"
"Rv0162","CERT",2E-09,"2ohxA0","b.35.1.2"
"Rv0163","GUESS",0.112,"1fofA0","e.3.1.1"
"Rv0164","CERT",9E-05,"1cx4A2","NULL"
"Rv0165","CERT",5E-06,"1e2xA0","a.4.5.6"
"Rv0166","CERT",5E-10,"1amuA0","e.23.1.1"
"Rv0167","LOW",0.017,"1fx2A0","d.58.29.1"
"Rv0168","HIGH",0.0003,"1amuA0","e.23.1.1"
"Rv0169","LOW",0.013,"1efdN0","c.92.2.1"
"Rv0170","LOW",0.033,"1qu7A0","h.4.5.1"
"Rv0171","HIGH",0.0002,"1qu7A0","h.4.5.1"
"Rv0172","MEDIUM",0.005,"1qu7A0","h.4.5.1"
"Rv0173","LOW",0.045,"1gkxA0","a.29.5.1"
"Rv0174","MEDIUM",0.003,"1qu7A0","h.4.5.1"
"Rv0175","MEDIUM",0.004,"1a6jA0","d.112.1.1"
"Rv0176","MEDIUM",0.004,"2tct02","NULL"
"Rv0177","LOW",0.041,"1qg3A0","b.1.2.1"
"Rv0178","MEDIUM",0.01,"2pgi00","c.80.1.2"
"Rv0179c","GUESS",0.254,"1uxy01","NULL"
"Rv0180c","HIGH",0.0003,"1js6A0","c.67.1.6"
"Rv0181c","LOW",0.065,"1qhoA3","NULL"
"Rv0182c","MEDIUM",0.006,"3bct00","a.118.1.1"
"Rv0183","CERT",1E-08,"1c4xA0","c.69.1.10"
"Rv0184","MEDIUM",0.006,"1mpgA1","NULL"
"Rv0185","LOW",0.011,"1mpyA0","d.32.1.3"
"Rv0186","HIGH",0.0007,"2tpsA0","c.1.3.1"
"Rv0187","CERT",5E-08,"1vid00","c.66.1.1"
"Rv0188","LOW",0.016,"1fm2A0","d.153.1.2"
"Rv0189c","MEDIUM",0.004,"1bi5A0","c.95.1.2"
"Rv0190","MEDIUM",0.006,"1fxkA0","a.2.5.1"
"Rv0191","CERT",3E-05,"1lucA0","c.1.16.1"
"Rv0192","LOW",0.019,"1e25A0","e.3.1.1"
"Rv0193c","MEDIUM",0.002,"1gln00","a.97.1.1"
"Rv0194","CERT",4E-08,"1gajA0","c.37.1.12"
"Rv0195","CERT",2E-07,"1a04A0","a.4.6.2"
